,title,price,distance,area,address,town,province,date-posted
0,3 months free  - Spacious 5 Bedroom Ensuites - Fully Furnished,$699.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,16/08/2021
1,Two months free - 5 mins to Laurier - Student apartment for rent,$719.00,Near you,Kitchener / Waterloo,Marshall Street,Waterloo,BC,18/08/2021
2,1 MONTH FREE @ 134 Columbia * STUDENT APTS with EN-SUITE BATHS,$695.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,16/08/2021
3,Three months free | student apartment for rent | SEPT 2021,$575.00,Near you,Kitchener / Waterloo,Marshall Street,Waterloo,BC,18/08/2021
4,One month free - Student rentals - Close to UW and WLU,$699.00,Near you,Kitchener / Waterloo,University Avenue West,Waterloo,BC,16/08/2021
5,Huge 17 Foot Long private student Bedrooms for Rent,$615.00,Near you,Kitchener / Waterloo,King Street North,Waterloo,BC,16 minutes ago
6,Waterloo Furnished room for student in licensed townhouse,$600.00,Near you,Kitchener / Waterloo,Keats Way,Waterloo,BC,50 minutes ago
7,34 Laurel: Rooms for Rent - Available Immediately!,$530.00,2 km,Kitchener / Waterloo,Erb Street East,Waterloo,BC,2 hours ago
8,"STUDENTS ONLY - 308 Hawthorn St - near UW, WLU, Conestoga",$550.00,Near you,Kitchener / Waterloo,King Street North,Waterloo,BC,3 hours ago
9,Student housing room for sublet. Female only unit,$600.00,Near you,Kitchener / Waterloo,Albert Street,Waterloo,BC,4 hours ago
10,Room Rental (Female Vegetarian),$600.00,2 km,Kitchener / Waterloo,Amos Avenue,Waterloo,BC,6 hours ago
11,1/2 ROOMS AVAILABLE IN BOND SUITE AT ICON,$975.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,7 hours ago
12,Fall 2021 Sublet in Waterloo/Kitchener Area,$500.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,7 hours ago
13,Temporary stay available in Waterloo,$700.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,8 hours ago
14,Great One Bedroom,$950.00,4 km,Kitchener / Waterloo,Victoria Street South,Waterloo,BC,9 hours ago
15,UW/WLU Students Welcome to 75 Columbia,$585.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
16,UW/WLU Students Welcome to 69 Columbia: Available September 2021,$675.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
17,UW/WLU Students Welcome to 61 Columbia for September 2021,$565.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
18,UW/WLU Students Welcome to 41 Columbia for September 2021,$575.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
19,UW/WLU Students Welcome to 35 Columbia: Available September 2021,$510.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
20,UW/WLU Students Welcome to 347 Spruce for September 2021,$525.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
21,Best Student Housing in Waterloo: Welcome to 1 Columbia,$670.00,Near you,Kitchener / Waterloo,Columbia Street East,Waterloo,BC,9 hours ago
22,UW/WLU Students Welcome to 26 Columbia For September 2021,$530.00,Near you,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
23,Best Student Housing in Waterloo: Welcome to 1 Columbia,$685.00,Near you,Kitchener / Waterloo,Columbia Street East,Waterloo,BC,9 hours ago
24,"Gorgeous master room near UW, available from September-5th",$950.00,2 km,Kitchener / Waterloo,Columbia Street West,Waterloo,BC,9 hours ago
25,Bedroom Sublet in Waterloo,$625.00,3 km,Kitchener / Waterloo,Erb Street West,Waterloo,BC,10 hours ago
26,IMMEDIATE SHORT LEASE FOR 4 months next to Waterloo,$765.00,Near you,Kitchener / Waterloo,University Avenue West,Waterloo,BC,10 hours ago
27,Student Room for rent near Waterloo / Laurier/Conestoga,$750.00,Near you,Kitchener / Waterloo,University Avenue West,Waterloo,BC,11 hours ago
28,Single room available Waterloo,$550.00,Near you,Kitchener / Waterloo,Albert Street,Waterloo,BC,11 hours ago
